"Origin_State"	"Dest_State"	"AllQueries"	"HousingQuery"	"HousingRent"	"HousingBuy"	"HousingApartment"	"HousingCondo"	"HousingDuplex"	"HousingTownhouse"	"HousingHouse"	"HousingHome"	"JobQuery"	"JobArchitectureEngineering"	"JobArt"	"JobBusiness"	"JobConstruction"	"JobEducation"	"JobFinance"	"JobFood"	"JobHealthcare"	"JobLeisureHospitality"	"JobManufacturing"	"JobRetail"	"JobScience"	"JobTechnology"	"JobTransportation"
"Washington"	"California"	194815	166863	39912	69246	26541	12841	318	3980	10626	112557	27952	102	356	642	219	793	380	81	1996	241	709	269	106	202	798
"Washington"	"Oregon"	188973	157308	44552	58470	27272	16489	1125	1277	14714	96431	31665	178	204	499	188	961	300	126	1806	189	287	155	135	171	838
"Texas"	"California"	188103	144132	65300	44466	47767	8408	705	2863	14621	69768	43971	167	762	784	341	1213	713	327	3005	409	1324	475	110	272	878
"Virginia"	"Florida"	187672	162805	45322	78744	24296	27736	328	2741	22036	85668	24867	141	141	545	225	759	410	119	1843	305	283	153	79	174	705
"Illinois"	"Texas"	186083	147868	54001	63755	41360	8334	539	4947	14575	78113	38215	130	238	1713	235	836	631	125	1839	288	738	277	100	230	6776
"South Carolina"	"North Carolina"	180792	140532	50123	56195	29189	8071	273	3330	16444	83225	40260	202	279	1454	315	1070	777	166	2878	224	393	233	135	188	1540
"Pennsylvania"	"New Jersey"	180072	165083	43968	73202	24030	26612	452	2352	19709	91928	14989	40	85	314	113	755	276	114	1698	233	135	96	50	89	559
"Massachusetts"	"Florida"	177903	165313	29469	87360	14925	39645	302	1245	17386	91810	12590	26	86	268	125	444	369	63	1009	186	235	140	41	66	347
"Florida"	"North Carolina"	175742	152843	39756	62398	20965	9142	290	2433	14129	105884	22899	94	140	392	160	805	467	138	2234	207	318	165	107	152	423
"Oregon"	"Washington"	174568	144922	46175	52361	29950	6785	1663	1622	13742	91160	29646	99	84	436	246	784	323	107	1940	213	193	149	73	156	569
"Michigan"	"Florida"	173963	160349	37030	89804	14137	49837	362	1212	17337	77464	13614	64	94	200	145	416	262	86	1156	165	251	95	47	55	319
"Alabama"	"Florida"	173958	156293	39722	96437	15361	71696	307	1969	15201	51759	17665	105	100	317	166	532	324	68	2128	168	180	124	50	158	452
"New Jersey"	"Pennsylvania"	172009	144830	45293	61195	31836	7316	308	3241	17217	84912	27179	133	381	914	219	1781	745	165	2969	318	246	181	188	212	753
"North Carolina"	"Florida"	169963	150864	43840	71127	21995	27904	324	2230	20495	77916	19099	83	149	333	139	556	377	102	1435	258	277	193	53	105	464
"Illinois"	"Wisconsin"	169100	146782	38296	67065	25146	13285	912	2555	15579	89305	22318	83	196	407	135	623	429	106	1640	126	330	100	79	88	498
"Illinois"	"California"	163912	139991	33409	69672	24254	10405	283	5602	8618	90829	23921	84	441	512	195	898	531	90	1469	237	890	305	86	193	1190
"Arizona"	"California"	162707	132886	51804	48871	31008	11851	398	1684	13966	73979	29821	133	282	560	210	1027	372	152	2580	308	442	195	77	160	530
"Indiana"	"Florida"	158087	145946	34445	89020	12330	57542	283	907	14706	60178	12141	46	71	189	95	379	287	53	1103	113	230	79	31	72	299
"New York"	"Pennsylvania"	157467	131662	34446	55623	24393	4491	162	1815	18096	82705	25805	107	336	499	168	999	459	141	3467	228	537	212	106	124	613
"Illinois"	"Indiana"	156569	134516	47724	60785	33115	6143	759	5571	18511	70417	22053	60	239	452	143	809	249	156	2077	313	440	181	94	123	584
"Massachusetts"	"New Hampshire"	154810	141267	24951	66270	17397	19976	341	1132	14794	87627	13543	34	47	184	72	569	680	95	1065	98	165	144	25	84	194
"California"	"New York"	154672	122329	27266	21868	25126	4498	350	802	6487	85066	32343	155	1467	858	227	2747	1468	117	1228	374	283	458	94	184	323
"New York"	"North Carolina"	152319	121195	37591	46047	24334	7155	179	3599	11784	74144	31124	110	139	568	155	771	563	86	3953	128	357	202	71	148	624
"New York"	"California"	151427	105162	34601	35952	27592	8242	212	2605	9845	56666	46265	122	697	1177	296	1148	850	144	4671	286	1619	535	103	264	599
"Kansas"	"Missouri"	148039	103896	39533	37861	26951	8491	1241	2674	10980	53559	44143	536	421	1077	499	1320	1261	229	3835	462	452	268	307	322	1199
"California"	"North Carolina"	146871	127079	22143	25654	13676	3104	182	1802	7237	101078	19792	52	135	541	127	512	456	45	1691	82	422	154	68	139	387
"New York"	"Texas"	142825	101931	37087	30513	29217	4294	396	1956	8591	57477	40894	143	307	891	283	774	2476	103	1706	213	1144	346	54	229	746
"Virginia"	"Maryland"	142787	117298	47899	48786	33251	12614	124	4971	14137	52201	25489	65	112	460	154	957	376	88	1455	622	90	153	63	110	381
"Florida"	"California"	142687	112712	40831	43151	29053	13057	388	2268	10430	57516	29975	97	591	612	217	894	496	184	1850	572	1104	459	80	170	607
"Maryland"	"Florida"	142547	124407	31377	64722	15806	20360	315	1847	17717	68362	18140	39	116	404	140	508	262	105	1491	262	189	151	91	97	431
"Florida"	"New York"	142449	117651	35392	47072	30149	9219	286	1655	11324	65018	24798	107	682	644	165	1740	942	152	1975	318	206	307	77	210	344
"District of Columbia"	"Maryland"	141785	116008	57377	44508	42721	10089	72	5861	15152	42113	25777	37	102	430	167	892	235	65	1712	671	78	176	73	144	440
"Kentucky"	"Florida"	139351	129410	31205	79104	12751	55952	236	1169	11732	47570	9941	20	65	124	212	330	134	42	1168	121	185	75	15	43	261
"Florida"	"Texas"	136141	108835	45356	35994	33160	5538	502	2827	10852	55956	27306	188	205	666	265	771	618	126	2047	250	765	279	127	255	738
"Maryland"	"Virginia"	136076	106504	42035	38842	29653	8172	91	3204	11896	53488	29572	76	89	494	133	1265	318	125	2760	272	164	140	91	132	1279
"Pennsylvania"	"Maryland"	126926	110398	32132	53137	17541	32503	105	1792	11276	47181	16528	45	96	320	101	717	341	87	1405	187	104	98	86	117	320
"Texas"	"Colorado"	123189	104385	36959	35494	23721	9081	384	2477	9383	59339	18804	186	172	403	220	622	341	104	1166	216	261	144	105	197	332
"Georgia"	"Alabama"	120815	101484	31161	47074	16682	14500	217	1701	12642	55742	19331	103	93	319	141	558	299	88	1516	157	224	142	62	117	517
"Illinois"	"Missouri"	120057	88774	30735	34261	21363	10127	519	1263	8498	47004	31283	146	375	875	261	1300	648	182	2890	332	451	196	166	201	1104
"Georgia"	"South Carolina"	118617	99341	34677	45160	15800	18722	143	1911	11235	51530	19276	47	90	323	110	976	437	127	1481	130	251	169	54	197	416
"Nevada"	"California"	116970	97559	32341	35994	19961	6598	307	1362	9739	59592	19411	53	171	364	97	489	223	101	1433	321	434	541	28	109	262
"Washington"	"Texas"	116914	89903	22628	40134	17008	2885	281	1884	7476	60369	27011	83	214	1862	154	425	275	44	858	114	426	146	31	159	6222
"California"	"Colorado"	114900	97391	23913	31181	16165	4854	323	1938	6911	67200	17509	92	156	447	185	517	332	93	965	148	356	205	80	188	314
"Georgia"	"North Carolina"	108901	90294	32062	34093	17717	4473	172	2169	10467	55296	18607	60	96	380	93	673	338	85	1630	263	181	200	62	120	525
"California"	"Georgia"	108836	92580	20903	24723	12419	2743	170	1699	6472	69077	16256	30	174	688	91	392	250	32	1012	130	251	144	28	110	470
"Virginia"	"Texas"	108214	67170	29725	22516	22979	3204	252	1884	6467	32384	41044	329	120	792	228	614	2350	82	14291	113	391	182	78	170	586
"Missouri"	"Florida"	107266	96708	25373	51503	10787	32259	264	1326	11944	40128	10558	27	45	242	61	239	221	43	881	102	148	56	31	44	205
"Maryland"	"District of Columbia"	107237	53990	30687	11740	27392	5090	89	1071	4232	16116	53247	584	987	2261	740	2295	1067	349	4495	1402	138	421	407	622	889
"North Carolina"	"Virginia"	107110	88547	31549	34189	19068	4952	100	2176	10933	51318	18563	39	94	254	127	734	285	64	1654	109	186	97	91	95	475
"New York"	"South Carolina"	105412	90464	17409	44885	8107	19499	81	1343	7493	53941	14948	41	65	176	72	485	210	59	733	103	176	70	24	54	192
"Connecticut"	"Florida"	104873	96207	17678	52588	9752	21801	137	777	9612	54128	8666	55	50	217	84	332	196	74	693	139	119	107	28	43	213
"California"	"Ohio"	104542	88942	34240	19593	24575	6408	123	3784	6300	47752	15600	17	106	332	65	456	173	42	1785	335	382	137	45	73	310
"New York"	"Connecticut"	104403	87891	23955	37412	18218	10273	222	1860	11432	45886	16512	21	92	353	59	836	425	85	1159	354	322	162	28	90	300
"Georgia"	"Tennessee"	103381	81640	27592	38584	16369	12444	382	1710	8768	41967	21741	105	236	951	190	492	299	192	1826	139	315	186	176	98	653
"Louisiana"	"Texas"	103052	77536	39743	24670	28263	4658	296	2081	8656	33582	25516	209	202	670	296	630	394	98	2188	181	424	135	93	85	761
"Texas"	"Louisiana"	100030	74466	30233	27774	18757	2362	279	1071	11093	40904	25564	175	412	460	400	605	382	108	2053	413	330	144	93	124	708
"Florida"	"Tennessee"	99737	87094	23289	41003	12994	7036	300	1269	7839	57656	12643	57	196	294	87	403	193	188	1050	126	342	69	46	75	255
"Pennsylvania"	"New York"	98607	74414	27014	23097	23227	3489	202	990	8142	38364	24193	118	759	561	192	1443	895	145	1946	330	233	205	137	231	429
"Oklahoma"	"Texas"	98514	77285	32591	27685	21394	4923	606	1211	9660	39491	21229	136	175	475	187	482	536	85	1481	137	413	114	84	153	494
"California"	"Illinois"	98303	78583	15205	17743	11720	4391	105	940	5254	56173	19720	90	364	687	118	780	518	55	1019	129	450	150	49	156	306
"Maryland"	"Pennsylvania"	96142	79086	20342	37639	12962	2215	208	1623	12160	49918	17056	65	183	375	131	804	261	141	1345	137	204	151	149	156	360
"Virginia"	"South Carolina"	94282	84155	21291	45720	8165	23123	108	1073	9109	42577	10127	43	44	145	74	441	124	27	679	163	111	72	19	129	225
"New York"	"Georgia"	94043	74424	23709	29110	15475	3885	138	1991	8450	44485	19619	31	173	503	109	432	263	49	1408	190	171	116	27	69	440
"Pennsylvania"	"South Carolina"	93236	84407	17854	45258	6509	24231	93	965	7106	45503	8829	29	85	164	66	330	93	35	864	91	106	99	46	48	236
"California"	"Tennessee"	92555	81199	22475	24950	15568	4534	174	2484	5809	52630	11356	49	173	300	109	348	265	46	706	78	1367	116	29	55	358
"Washington"	"Arizona"	92346	84616	14323	41409	8566	6785	442	1475	4312	63036	7730	39	30	110	57	337	135	24	472	97	112	58	17	75	118
"Minnesota"	"Wisconsin"	89991	75093	18375	35455	12579	2944	465	1826	10223	47056	14898	51	64	447	77	326	250	49	1191	97	142	52	84	66	234
"Pennsylvania"	"North Carolina"	89949	76955	23725	29496	13118	6344	216	1571	9201	46505	12994	113	80	393	82	514	289	48	1089	78	196	107	89	96	320
"Illinois"	"Arizona"	88746	80035	19294	40454	12020	7612	86	2458	4057	53802	8711	55	41	180	81	572	126	12	553	73	149	60	35	44	206
"California"	"Idaho"	88522	79255	10288	27787	5200	1821	203	408	5017	66606	9267	34	12	118	87	218	121	25	423	52	84	51	24	31	126
"Alabama"	"Georgia"	88404	64281	31506	21585	18322	3130	136	1515	7981	33197	24123	73	221	492	247	732	375	117	2018	148	244	153	64	143	789
"Texas"	"New Mexico"	87651	74068	16918	25770	8747	6854	108	520	6519	51320	13583	41	59	158	122	431	86	31	789	148	125	66	85	53	367
"Colorado"	"Texas"	87621	69663	24381	25903	17081	3063	342	1448	6631	41098	17958	114	131	360	200	390	265	58	1184	111	352	110	72	109	384
"Texas"	"Oklahoma"	86865	68349	25614	22899	16250	1290	545	489	8820	40955	18516	95	97	312	162	504	315	50	1016	425	304	127	39	67	474
"Arizona"	"Texas"	86837	70743	27612	23036	19870	2534	479	1443	5695	40722	16094	163	109	398	169	484	312	41	1334	106	274	115	76	104	365
"Ohio"	"Kentucky"	86086	69659	27203	28294	18263	4808	187	857	10929	34615	16427	32	40	362	100	445	273	72	1036	50	196	343	40	42	338
"Washington"	"Idaho"	85559	75529	12142	29721	7094	3496	241	1085	5081	58532	10030	87	30	122	96	219	116	49	481	95	169	36	52	31	90
"Washington"	"Florida"	84646	75184	9748	48311	5565	8406	133	1972	15175	43933	9462	21	92	160	56	246	154	82	725	117	242	98	13	55	218
"Minnesota"	"Florida"	84345	73859	18977	38824	9033	18667	232	1739	10194	33994	10486	24	60	144	62	230	215	60	715	115	111	75	16	41	217
"California"	"Pennsylvania"	83619	71232	11056	14928	7969	1702	85	516	3987	56973	12387	17	89	221	84	715	176	33	1737	71	196	113	55	79	218
"Wisconsin"	"Florida"	83348	75220	16569	41515	7034	22084	145	711	9286	35960	8128	21	55	175	59	196	95	59	649	111	128	83	7	33	182
"Georgia"	"Texas"	83220	66435	32227	20562	23537	2603	382	1772	6880	31261	16785	93	156	452	230	469	285	62	1065	118	337	179	58	98	667
"Ohio"	"South Carolina"	82333	75463	19585	42761	5946	29813	92	529	7223	31860	6870	33	38	105	70	231	86	20	593	96	115	66	12	62	181
"Pennsylvania"	"Delaware"	82224	73335	19209	34553	10682	7471	56	1556	9409	44161	8889	6	74	185	96	236	130	39	583	113	63	127	12	41	207
"Illinois"	"Michigan"	82050	69010	18728	29660	11914	5350	127	1663	7371	42585	13040	47	43	181	57	305	126	30	841	87	151	58	23	38	146
"Missouri"	"Illinois"	82038	66752	22770	25172	14338	2528	452	902	10294	38238	15286	56	118	324	83	568	376	101	1508	90	138	82	55	47	265
"Virginia"	"California"	81615	63653	26283	21295	18778	4012	298	1740	5696	33129	17962	114	320	452	156	514	281	56	1592	157	578	276	56	192	392
"New York"	"Massachusetts"	81567	64035	20211	22771	16782	6628	111	509	6359	33646	17532	106	208	431	60	573	308	109	823	111	164	119	121	46	151
"District of Columbia"	"Virginia"	81528	65927	29908	22836	22869	5821	69	2500	6539	28129	15601	29	55	339	139	682	221	98	844	76	37	74	42	85	653
"Oregon"	"California"	79338	65816	19007	23004	12117	4150	218	467	5638	43226	13522	73	161	254	118	361	198	60	1030	167	330	154	30	99	205
"Maryland"	"North Carolina"	78478	64626	21375	27582	11622	3730	130	1406	9045	38693	13852	121	66	291	102	468	167	54	1224	97	150	45	100	109	361
"Ohio"	"Pennsylvania"	78474	59468	17712	26184	12775	2485	132	651	8557	34868	19006	97	183	317	124	750	340	105	1526	123	213	69	99	87	548
"Tennessee"	"Alabama"	78130	68050	17919	40603	8141	28005	60	552	7483	23809	10080	89	37	189	70	268	182	45	1626	46	106	58	40	26	200
"Virginia"	"District of Columbia"	77520	41493	21580	9897	19592	4878	67	775	2844	13337	36027	330	778	2182	544	1867	739	214	2125	875	152	221	427	536	679
"Louisiana"	"Florida"	77385	71139	16133	47880	4878	40426	116	800	7690	17229	6246	58	37	158	148	184	94	39	603	75	69	60	20	23	126
"Missouri"	"Kansas"	77052	63079	28805	23378	20229	1495	952	2465	8557	29381	13973	39	20	226	79	461	225	49	1298	57	104	73	196	33	201
"California"	"Michigan"	76570	60235	11012	15015	7461	2593	106	521	4389	45165	16335	25	57	137	53	128	122	40	413	54	241	72	24	39	126
"South Carolina"	"Florida"	76366	67377	18814	34520	8254	14659	166	999	8390	34909	8989	44	58	270	71	282	513	42	632	160	107	67	35	60	218
"North Carolina"	"Georgia"	76231	61565	25130	23507	14159	3751	94	2025	7280	34256	14666	57	209	400	88	496	272	61	1370	120	160	114	76	93	418
"Missouri"	"Texas"	75906	59932	29175	17141	21214	3373	564	1370	5795	27616	15974	70	96	361	138	398	366	59	1567	122	305	159	47	91	417
"Florida"	"Pennsylvania"	75521	65020	18090	27825	11836	3900	88	1946	7396	39854	10501	36	113	233	92	510	150	89	1165	91	150	76	26	57	276
"Pennsylvania"	"Ohio"	75159	56749	22142	23026	14784	3657	254	594	9240	28220	18410	123	123	370	108	674	321	71	1780	185	341	139	74	113	605
"South Carolina"	"Georgia"	74794	55518	23206	21218	12795	3080	186	1619	6234	31604	19276	73	181	412	164	829	254	103	1610	191	278	111	53	130	597
"Ohio"	"Michigan"	74666	60259	19012	25568	12784	4916	246	822	8718	32773	14407	59	53	187	41	252	116	32	932	73	139	59	32	30	161
"Colorado"	"Florida"	73609	63919	13298	33737	7426	11891	93	956	9373	34180	9690	36	76	138	140	205	142	79	619	198	164	57	33	87	199
"Florida"	"South Carolina"	73597	63363	16969	30046	8228	7723	90	989	6572	39761	10234	67	44	231	93	394	138	53	791	99	129	98	51	79	226
"Tennessee"	"Texas"	73057	55561	27868	16204	19156	2084	440	1318	6170	26393	17496	66	107	364	161	420	265	46	2306	70	284	110	61	102	471
"Indiana"	"Kentucky"	72638	54934	20048	22943	13453	2406	207	519	7827	30522	17704	88	188	408	278	959	265	53	1617	80	297	182	50	92	546
"Connecticut"	"Massachusetts"	71932	61721	15611	27877	12583	6043	124	327	7498	35146	10211	67	204	326	53	419	220	81	681	99	60	91	67	81	123
"Tennessee"	"Georgia"	71930	58786	26396	22239	14682	4099	214	1346	8535	29910	13144	41	160	299	65	459	180	42	1270	87	128	98	37	72	660
"Colorado"	"California"	71911	58581	22648	19923	15910	4202	256	1152	5077	31984	13330	73	205	298	172	411	205	102	805	129	412	171	65	95	304
"Texas"	"Georgia"	71523	56608	27129	17172	17719	2358	254	1793	5185	29299	14915	95	140	407	97	467	560	54	1038	85	184	104	35	62	383
"Connecticut"	"New York"	70686	55571	18826	18777	16623	4549	86	698	5726	27889	15115	106	417	598	160	691	515	95	1428	167	139	118	64	119	332
"Texas"	"Arizona"	70454	58204	22442	19740	15461	4106	212	946	4201	33278	12250	63	46	248	94	1272	128	40	765	150	207	77	44	43	305
"Illinois"	"Tennessee"	70334	60320	17060	27700	9887	4881	192	1495	5242	38623	10014	82	135	251	75	342	237	35	759	91	253	81	30	42	317
"Pennsylvania"	"Virginia"	68966	58229	23033	21814	14554	6450	67	1672	6515	28971	10737	45	61	237	86	487	164	35	1091	78	101	54	82	43	265
"California"	"Virginia"	68890	57669	14514	14457	9860	1916	74	1023	3509	41287	11221	36	138	218	114	305	161	62	730	62	272	89	50	75	260
"New York"	"Virginia"	68517	58106	21804	19244	15704	5229	91	1806	5225	30051	10411	71	82	172	88	435	289	36	764	77	209	100	23	66	261
"Wisconsin"	"Minnesota"	68146	53410	17986	21931	13661	2665	242	2542	5615	28685	14736	109	172	310	85	407	281	77	1212	112	132	60	87	130	287
"Maryland"	"Texas"	67921	53029	21760	19007	15928	1983	357	1599	6223	26939	14892	57	98	284	178	372	165	40	1191	98	284	145	68	125	447
"California"	"Missouri"	67813	58455	19785	12227	16216	1705	252	529	3497	36256	9358	38	81	181	73	326	135	19	490	95	320	82	26	65	197
"Kentucky"	"Tennessee"	67696	54290	17498	26309	9371	11569	161	877	5869	26443	13406	71	188	276	128	352	183	144	1634	116	190	270	56	46	324
"Texas"	"New York"	67528	50380	21999	14747	20126	2615	113	887	4136	22503	17148	116	564	399	93	1551	1228	55	883	211	162	226	54	110	194
"New Jersey"	"North Carolina"	67407	58243	16394	24211	10060	2997	78	1495	5219	38394	9164	28	51	265	58	374	215	45	545	64	160	65	64	53	207
"Massachusetts"	"Maine"	67280	63868	6849	26194	3636	5739	39	177	5231	49046	3412	17	32	39	34	158	58	29	208	34	6	37	11	8	48
"New York"	"Ohio"	67263	45902	24776	13046	18594	4318	53	2329	4637	15971	21361	27	112	351	54	425	307	29	3133	135	237	98	45	43	429
"Ohio"	"North Carolina"	67056	57304	19507	21532	10519	6770	143	875	5936	33061	9752	39	66	133	95	410	205	105	908	42	165	71	59	57	264
"Pennsylvania"	"California"	67036	52105	22724	16748	16100	4112	195	771	5035	25892	14931	53	354	351	132	464	255	90	1028	244	626	218	71	126	313
"Maryland"	"California"	66850	51483	20320	18283	12557	2661	139	1023	5982	29121	15367	62	197	298	113	419	205	73	878	206	382	156	73	112	301
"North Carolina"	"Tennessee"	66391	56078	16321	25262	9014	7911	128	881	5614	32530	10313	78	107	161	84	300	227	35	868	42	158	104	55	33	181
"Florida"	"Ohio"	66054	56050	15999	26565	10281	6223	195	627	6533	32191	10004	30	79	168	69	349	132	53	1312	487	230	104	27	76	186
"New Hampshire"	"Massachusetts"	65753	55010	15472	23197	13042	7762	98	371	5459	28278	10743	103	142	264	67	417	264	69	899	114	84	47	64	66	175
"Indiana"	"Illinois"	65745	47546	19073	17709	14402	3732	98	1164	5617	22533	18199	106	427	669	198	1398	277	101	1353	250	233	125	127	129	577
"Florida"	"Michigan"	64807	52019	12637	24300	8048	6330	105	513	5513	31510	12788	18	38	96	33	243	81	30	384	74	132	56	8	24	86
"Colorado"	"Arizona"	64704	57298	13493	24534	8469	4361	89	1432	3046	39901	7406	21	29	130	112	607	168	18	535	78	67	53	14	35	139
"Florida"	"Alabama"	64040	52033	16739	23822	9466	5149	86	548	6620	30164	12007	68	39	223	101	357	159	49	966	159	175	111	23	42	298
"Texas"	"North Carolina"	63948	52252	19466	17183	12680	1981	121	1275	4939	31256	11696	127	63	217	76	420	264	32	852	55	217	100	71	60	322
"Ohio"	"Texas"	63075	49909	23695	16154	17665	3381	229	1090	5073	22471	13166	109	131	337	129	413	315	39	938	74	394	137	63	184	398
"Georgia"	"California"	62270	49777	20777	18018	14540	3532	150	1185	4950	25420	12493	69	230	288	110	385	219	46	926	121	527	186	37	96	371
"California"	"South Carolina"	62186	54595	7967	17186	3916	4158	49	404	3440	42628	7591	23	40	105	53	267	84	19	382	57	195	72	20	52	130
"California"	"Utah"	61860	54798	11236	17457	6760	3003	180	695	3234	40926	7062	35	39	129	67	174	72	20	348	86	208	63	15	32	178
"New Jersey"	"California"	61811	47630	17677	15651	13125	3980	211	622	4293	25399	14181	47	330	324	125	332	367	60	616	155	790	287	48	108	293
"New Mexico"	"Texas"	61646	45554	14536	16907	8815	1550	235	608	5099	29247	16092	103	55	190	178	436	215	31	1149	85	198	117	46	71	708
"Minnesota"	"Texas"	61209	51996	21775	11820	16255	2510	324	2004	3351	27552	9213	60	58	273	109	359	299	37	764	51	227	87	34	109	299
"Virginia"	"Tennessee"	60964	48436	13951	23339	8585	5426	107	748	6300	27270	12528	70	140	247	141	458	188	43	1168	87	189	111	43	67	267
"Mississippi"	"Tennessee"	60642	40490	18480	15847	11698	4406	122	675	4788	18801	20152	72	158	442	160	744	327	59	2411	99	264	101	48	88	1061
"North Carolina"	"Texas"	60631	47174	22653	14181	15951	1727	304	1267	4822	23103	13457	61	106	386	134	412	255	51	842	118	419	138	62	127	359
"Florida"	"Illinois"	60561	50094	15467	19363	10646	4797	113	1433	4830	28275	10467	49	173	241	92	574	297	84	971	85	248	89	46	70	241
"Virginia"	"Georgia"	60470	47645	21002	17054	12839	2211	126	1407	5508	25554	12825	53	138	402	140	421	197	71	861	122	156	65	39	112	549
"Illinois"	"New York"	60429	45566	15653	14502	13691	2765	51	1330	4286	23443	14863	44	337	288	63	1241	817	49	1155	169	107	199	26	194	141
"Arizona"	"Florida"	60224	53008	12881	27639	7032	7968	104	815	9298	27791	7216	15	98	121	58	268	168	96	590	122	124	55	21	45	136
"Illinois"	"Georgia"	60212	50757	22688	17787	14431	2521	117	2513	5012	26163	9455	50	82	283	73	259	192	50	823	64	125	72	25	57	425
"Pennsylvania"	"Texas"	60210	45805	20936	13809	15803	1651	253	1093	4640	22365	14405	120	157	319	176	445	241	61	1198	95	457	184	91	160	457
"Tennessee"	"Mississippi"	60156	48076	20486	19691	10894	1520	69	481	7071	28041	12080	35	19	152	61	237	100	43	1407	184	127	127	11	53	289
"Alabama"	"Tennessee"	60021	49623	15915	24497	9836	10524	139	902	4956	23266	10398	96	195	251	85	611	133	54	800	88	214	55	43	69	206
"Texas"	"Arkansas"	59718	49867	14408	20309	8106	1775	379	374	6544	32689	9851	16	27	174	55	360	252	28	761	37	104	113	15	21	345
"Illinois"	"Iowa"	59480	45448	14789	18987	11103	2299	138	904	5228	25776	14032	46	53	189	75	665	214	66	1049	74	449	82	44	61	199
"Massachusetts"	"Connecticut"	59231	48709	14275	21109	10871	5824	90	343	6931	24650	10522	17	31	212	146	634	262	73	772	113	104	133	24	39	314
"Wisconsin"	"Illinois"	59206	44407	15631	17638	11627	3668	212	925	4894	23081	14799	60	226	400	100	474	302	97	1335	186	190	84	83	59	331
"Florida"	"Virginia"	59200	51287	19773	18037	13286	3503	89	1652	4792	27965	7913	48	42	152	46	370	128	33	671	65	145	60	32	46	201
"Virginia"	"Pennsylvania"	58880	47613	14595	19134	10465	1633	62	931	5949	28573	11267	75	135	209	85	540	181	74	874	82	116	78	55	66	264
"Mississippi"	"Florida"	58842	53056	13707	33170	4599	25863	92	624	5168	16710	5786	21	71	196	63	259	104	19	516	95	75	79	21	21	99
