"Origin_State"	"Dest_State"	"AllQueries"	"HousingQuery"	"HousingRent"	"HousingBuy"	"HousingApartment"	"HousingCondo"	"HousingDuplex"	"HousingTownhouse"	"HousingHouse"	"HousingHome"	"JobQuery"	"JobArchitectureEngineering"	"JobArt"	"JobBusiness"	"JobConstruction"	"JobEducation"	"JobFinance"	"JobFood"	"JobHealthcare"	"JobLeisureHospitality"	"JobManufacturing"	"JobRetail"	"JobScience"	"JobTechnology"	"JobTransportation"
"New York"	"Florida"	505444	452064	86996	249414	51605	110776	713	6456	47266	235248	53380	97	342	839	357	1485	1097	2583	4548	724	731	324	82	177	1207
"California"	"Texas"	383446	310286	91084	94633	66766	8447	1708	4988	24967	203410	73160	1805	476	1784	724	1748	2145	243	5232	528	1852	676	258	422	1814
"Georgia"	"Florida"	365181	323693	92321	180921	41340	112021	712	4982	32176	132462	41488	170	271	962	368	1403	649	279	3988	551	404	264	92	220	1435
"California"	"Arizona"	352041	303385	86673	111256	58763	14192	750	4188	22521	202971	48656	115	216	667	341	3016	534	235	3274	493	542	361	59	153	950
"North Carolina"	"South Carolina"	315287	265120	83315	132016	36235	56873	653	4721	32016	134622	50167	161	278	800	332	2144	833	166	3287	546	566	544	123	328	1051
"California"	"Florida"	284477	248388	38317	87271	23275	23283	539	2530	35587	163174	36089	90	231	583	272	833	779	1007	2045	521	831	307	44	168	919
"California"	"Nevada"	284387	233630	71832	93012	45584	19781	630	3849	19823	143963	50757	185	287	690	1333	910	502	356	2754	5057	435	411	95	221	1706
"Illinois"	"Florida"	275911	251882	53503	142712	24688	63151	660	5210	25562	132611	24029	78	215	476	242	734	566	175	1798	311	403	156	70	108	742
"Ohio"	"Florida"	260753	237564	58972	132483	24889	71886	367	1891	27327	111204	23189	98	138	482	164	977	339	85	2379	378	321	156	61	92	557
"Pennsylvania"	"Florida"	253216	228712	52787	120752	26262	50052	425	2666	29517	119790	24504	93	171	452	224	908	439	135	2361	338	322	153	85	121	671
"New York"	"New Jersey"	242587	210851	63150	96490	48518	24138	238	4373	28816	104768	31736	39	101	548	151	1356	476	181	1836	511	2469	168	45	121	792
"Texas"	"Florida"	229755	199609	58782	103025	31019	47473	490	3580	33416	83631	30146	146	239	518	237	901	484	330	1877	401	468	235	70	160	759
"New Jersey"	"Florida"	229476	210489	42465	108211	23923	42982	268	3155	21478	118683	18987	80	119	435	207	681	535	104	1279	341	319	205	62	99	576
"California"	"Oregon"	221742	198199	34670	66112	21996	5545	702	991	13672	155293	23543	111	188	339	182	720	318	87	1541	196	157	100	130	168	384
"Florida"	"Georgia"	216004	180020	67957	70728	39253	7065	505	3562	18594	111041	35984	101	389	849	294	1082	537	180	2880	294	313	234	126	248	1032
"Tennessee"	"Florida"	206203	187644	46287	116766	17641	84220	398	2194	18907	64284	18559	58	96	320	142	471	258	85	2735	167	187	93	39	104	449
"New Jersey"	"New York"	204204	147580	47719	53000	41327	11532	277	2163	16122	76159	56624	241	2159	2209	453	2411	2853	507	4773	934	330	503	230	516	810
"California"	"Washington"	198814	173162	47192	50322	33473	7584	647	1531	11888	118039	25652	194	237	524	186	915	400	147	1542	160	324	161	165	245	490
"Virginia"	"North Carolina"	194881	162378	50795	69690	25060	12875	265	3354	20882	99942	32503	169	103	612	213	1187	494	133	2270	184	266	155	130	240	795
