"Origin_State"	"Dest_State"	"AllQueries"	"HousingQuery"	"HousingRent"	"HousingBuy"	"HousingApartment"	"HousingCondo"	"HousingDuplex"	"HousingTownhouse"	"HousingHouse"	"HousingHome"	"JobQuery"	"JobArchitectureEngineering"	"JobArt"	"JobBusiness"	"JobConstruction"	"JobEducation"	"JobFinance"	"JobFood"	"JobHealthcare"	"JobLeisureHospitality"	"JobManufacturing"	"JobRetail"	"JobScience"	"JobTechnology"	"JobTransportation"
"New York"	"Florida"	504494	460269	96732	237326	54926	123661	758	6834	41984	232106	44225	119	326	915	421	1617	1011	209	5078	851	230	332	112	265	1357
"Georgia"	"Florida"	397581	351454	103713	191435	43071	134285	846	5711	31696	135845	46127	165	340	834	495	1252	880	415	4718	733	341	238	133	229	1605
"North Carolina"	"South Carolina"	338171	278472	91173	129874	36923	62007	760	4594	36517	137671	59699	147	242	872	382	2713	980	316	4328	512	518	449	113	293	1186
"Ohio"	"Florida"	298551	272376	69475	141298	28146	90121	498	1916	21209	130486	26175	94	113	345	245	1084	424	123	3061	413	274	155	57	121	601
"California"	"Texas"	293507	239085	96413	76680	71399	8089	1568	5666	24438	127925	54422	303	366	1072	495	1567	1158	242	4598	437	512	282	165	263	1616
"Pennsylvania"	"Florida"	288897	260580	65156	121742	30170	59617	368	3168	24526	142731	28317	74	141	733	258	918	425	230	2925	441	214	163	65	100	854
"California"	"Arizona"	273934	231332	83137	78645	57350	12446	773	3335	20393	137035	42602	180	127	526	425	3083	790	163	3102	473	219	226	68	154	877
"New Jersey"	"Florida"	258945	237188	52068	115855	26291	52565	473	4023	23207	130629	21757	73	117	441	168	753	499	221	1654	459	153	133	101	107	792
"Illinois"	"Florida"	256811	233937	55936	116166	23049	72131	434	2991	20188	115144	22874	78	129	417	249	611	481	210	1869	612	124	146	76	102	689
"California"	"Nevada"	250361	202979	62254	78955	39330	17936	609	2973	18660	123471	47382	131	232	578	546	725	451	475	3712	2235	206	365	113	189	1641
"Texas"	"Florida"	215207	191688	60005	91861	29090	58128	560	3524	18758	81628	23519	167	118	278	241	599	410	153	1535	405	241	151	71	84	741
"New York"	"New Jersey"	209293	184033	61144	76410	45383	21377	227	4050	28746	84250	25260	94	87	627	184	1087	366	146	1584	619	92	182	61	173	626
"Tennessee"	"Florida"	207947	190846	47720	114280	15887	92291	469	2448	15276	64475	17101	29	93	299	112	464	287	122	2560	213	89	67	49	75	428
"New Jersey"	"New York"	201346	139489	50850	43286	44735	11242	251	2074	14853	66334	61857	724	1950	2769	632	2639	2485	543	4856	1228	387	692	355	621	991
"Alabama"	"Florida"	201051	179996	44081	111598	15758	90807	195	2461	15231	55544	21055	157	183	358	197	429	350	122	2714	224	174	128	74	89	544
"Florida"	"Georgia"	200132	162488	62180	60437	32364	7608	380	3830	20326	97980	37644	77	326	918	384	945	620	203	3596	271	290	141	88	170	1387
"Michigan"	"Florida"	194499	178238	46536	89837	17473	62371	396	1329	12216	84453	16261	74	77	221	112	474	223	81	2166	281	147	104	37	102	346
"Pennsylvania"	"New Jersey"	194315	174567	47134	71378	26533	27026	495	2864	22896	94753	19748	36	72	371	113	874	363	147	1763	408	141	183	38	57	711
"Virginia"	"North Carolina"	192212	157450	50919	60894	24406	13435	349	2828	22910	93522	34762	164	180	634	243	1144	525	118	2944	249	353	179	184	188	744
"Indiana"	"Florida"	189012	175022	41973	99257	13992	73420	312	1135	12222	73941	13990	50	72	173	140	444	336	33	1309	210	158	81	16	47	340
"Washington"	"Oregon"	182542	148588	47524	46894	28734	10604	849	1133	16678	90590	33954	162	345	452	189	824	410	198	2178	214	318	191	134	149	985
"Massachusetts"	"Florida"	180467	167767	30855	83227	14339	47585	368	1355	13666	90454	12700	52	64	175	187	434	271	82	1201	318	91	91	35	42	364
"California"	"Oregon"	179779	159547	33712	50581	19112	5829	547	989	13199	119871	20232	213	135	270	115	674	262	103	1378	116	145	105	78	143	406
"Virginia"	"Florida"	178155	156315	44956	68624	22552	29452	256	2301	16935	84819	21840	105	106	416	256	728	486	120	1715	334	153	117	104	97	604
"North Carolina"	"Florida"	176139	154905	48628	67422	23037	32500	477	2508	15010	81373	21234	87	118	428	198	572	400	118	2285	316	120	156	69	68	476
"Texas"	"California"	176112	140816	64550	43021	45853	8556	752	2859	16157	66639	35296	167	466	604	188	1432	455	124	2614	286	152	202	138	210	791
"New Jersey"	"Pennsylvania"	172939	141553	46630	54479	33411	6396	319	3656	19276	78495	31386	340	542	855	290	1695	897	352	3255	651	491	185	173	253	943
"Arizona"	"California"	167670	139328	55777	49956	32484	14221	490	1762	17061	73310	28342	108	252	485	211	891	354	129	2347	399	116	176	120	116	712
"Oregon"	"Washington"	166253	138744	47340	43730	31361	6554	1154	1456	15265	82954	27509	81	118	456	153	563	275	167	2145	178	159	152	61	97	488
"California"	"Florida"	162156	137808	38618	56447	22265	24953	349	2566	12495	75180	24348	56	162	416	144	650	810	109	1631	680	137	128	51	115	587
"South Carolina"	"North Carolina"	162042	119959	45975	41135	26288	6552	289	2770	15515	68545	42083	285	312	1081	386	1049	1021	222	4066	350	421	272	137	269	1396
"Kansas"	"Missouri"	159393	109240	40798	39393	25780	8222	1610	2531	14838	56259	50153	490	682	1333	1147	1935	1174	261	4654	608	444	403	444	399	1325
"California"	"Washington"	158353	136441	44049	43145	29028	7355	549	1694	13532	84283	21912	156	166	422	184	507	302	89	1624	171	106	134	143	228	432
"Illinois"	"Indiana"	156682	128378	51937	49176	35468	4819	497	3574	20503	63517	28304	132	129	455	160	1012	283	196	3358	570	347	189	113	98	798
"Florida"	"North Carolina"	154075	132103	37076	47325	18922	7943	313	2267	13120	89538	21972	49	99	434	211	1013	354	92	2012	292	93	154	102	82	350
"Washington"	"California"	152186	126054	44635	39865	29419	11193	374	1647	12770	70651	26132	118	327	537	173	742	352	118	1544	274	137	164	149	187	558
"District of Columbia"	"Maryland"	150709	124946	64078	45082	46821	10183	112	5869	19540	42421	25763	56	95	560	184	1050	254	158	2035	513	112	276	67	113	495
"Kentucky"	"Florida"	148749	138668	31883	83026	10152	63353	278	1272	10637	52976	10081	17	38	181	122	265	142	52	1305	160	64	38	28	51	474
"Illinois"	"Texas"	148700	122309	57378	39842	43097	7103	698	3815	12630	54966	26391	135	306	583	259	760	513	157	2239	167	280	144	80	140	874
"Pennsylvania"	"Maryland"	142677	122656	38595	57103	21315	37638	51	2686	14289	46677	20021	89	158	314	195	748	428	120	2056	256	108	133	77	148	463
"Maryland"	"Virginia"	139219	110081	44762	39287	31057	7668	134	3669	13572	53981	29138	94	107	618	262	1075	340	113	2740	340	152	116	60	141	987
