"Origin_State"	"Dest_State"	"AllQueries"	"HousingQuery"	"HousingRent"	"HousingBuy"	"HousingApartment"	"HousingCondo"	"HousingDuplex"	"HousingTownhouse"	"HousingHouse"	"HousingHome"	"JobQuery"	"JobArchitectureEngineering"	"JobArt"	"JobBusiness"	"JobConstruction"	"JobEducation"	"JobFinance"	"JobFood"	"JobHealthcare"	"JobLeisureHospitality"	"JobManufacturing"	"JobRetail"	"JobScience"	"JobTechnology"	"JobTransportation"
"Kansas"	"California"	18063	14806	6002	5396	3808	917	68	275	1421	8317	3257	13	63	33	13	91	21	23	291	54	17	10	16	16	47
"New Jersey"	"Ohio"	18022	14407	5889	5486	4234	986	62	234	1915	6976	3615	21	32	98	21	157	80	15	526	480	31	13	11	23	57
"Washington"	"Illinois"	18018	15980	3304	7662	2587	1290	12	671	956	10464	2038	12	46	49	25	147	39	10	164	24	18	10	10	42	42
"Arizona"	"Utah"	18017	14105	4647	5443	2871	1068	39	285	1303	8539	3912	21	7	54	60	98	41	13	915	218	23	4	5	6	72
"Minnesota"	"New York"	17850	13427	6387	3738	5956	876	36	255	1021	5283	4423	13	75	78	19	1082	98	23	384	45	6	12	18	32	69
"New Jersey"	"Arizona"	17809	15292	5161	5771	3721	1210	14	347	991	9009	2517	5	9	33	25	323	47	13	157	24	8	13	3	9	52
"New York"	"Delaware"	17793	16328	4402	6523	2639	1405	7	484	1451	10342	1465	1	2	18	26	51	113	6	96	15	13	18	13	6	28
"Wyoming"	"Colorado"	17784	13486	4542	3806	2885	831	40	224	1040	8466	4298	42	36	72	37	112	74	17	369	33	71	19	20	20	64
"North Dakota"	"Arizona"	17775	16457	2928	7460	1460	1308	21	130	659	12879	1318	3	11	15	27	43	28	5	138	12	4	7	4	4	50
"Georgia"	"Maryland"	17769	15440	5814	6222	4218	1365	15	480	1626	7736	2329	4	10	50	14	154	41	4	265	28	11	12	4	13	47
"Ohio"	"Maryland"	17720	14742	6048	6179	4078	3352	14	559	1482	5257	2978	14	2	30	21	114	46	13	839	15	5	15	21	7	50
